name,slug,universityName,city,state,roomType,bathroomType,yearBuilt,capacity,officialPageUrl,description,imageUrl,sourceUrl,sourceName,seasonYear,lastVerifiedAt
,,University of Colorado,,,,,,,,,,,cubuffs.com,2025-2026,2026-05-19
,,Arizona State University,,,,,,,,,,,thesundevils.com,2025-2026,2026-05-19
,,University of Arizona,,,,,,,,,,,arizonawildcats.com,2025-2026,2026-05-19
,,University of Utah,,,,,,,,,,,utahutes.com,2025-2026,2026-05-19
,,Kansas State University,,,,,,,,,,,kstatesports.com,2025-2026,2026-05-19
,,Oklahoma State University,,,,,,,,,,,okstate.com,2025-2026,2026-05-19
,,Saint John's University MN,,,,,,,,,,,gojohnnies.com,2025-2026,2026-05-19
,,Trinity Valley Community College,,,,,,,,,,,tvccathletics.com,2025-2026,2026-05-19
,,Mt. San Antonio College,,,,,,,,,,,mtsacathletics.com,2025-2026,2026-05-19
,,Fullerton College,,,,,,,,,,,fullcollathletics.com,2025-2026,2026-05-19
,,Riverside City College,,,,,,,,,,,rccathletics.com,2025-2026,2026-05-19
,,Independence Community College,,,,,,,,,,,indycc.com,2025-2026,2026-05-19
,,Coahoma Community College,,,,,,,,,,,coahomacctigers.com,2025-2026,2026-05-19
,,Pasadena City College,,,,,,,,,,,pccathletics.com,2025-2026,2026-05-19
,,University of Houston,,,,,,,,,,,uhcougars.com,2025-2026,2026-05-19
,,University of Central Florida,,,,,,,,,,,ucfknights.com,2025-2026,2026-05-19
,,West Virginia University,,,,,,,,,,,wvusports.com,2025-2026,2026-05-19
,,Charleston Southern University,,,,,,,,,,,csusports.com,2025-2026,2026-05-19
,,University of the Cumberlands,,,,,,,,,,,ucumberlandspatriots.com,2025-2026,2026-05-19
,,Kentucky State University,,,,,,,,,,,ksuthorobreds.com,2025-2026,2026-05-19
,,Miles College,,,,,,,,,,,milesgoldenbears.com,2025-2026,2026-05-19
,,Allen University,,,,,,,,,,,auyellowjackets.com,2025-2026,2026-05-19
,,Valley City State University,,,,,,,,,,,www.vcsuvikings.com,2025-2026,2026-05-19
,,Dickinson State University,,,,,,,,,,,dsubluehawks.com,2025-2026,2026-05-19
,,Dakota State University,,,,,,,,,,,dsuathletics.com,2025-2026,2026-05-19
,,Mayville State University,,,,,,,,,,,msucomets.com,2025-2026,2026-05-19
,,University of Jamestown,,,,,,,,,,,jimmiepride.com,2025-2026,2026-05-19
